nama_titik,lokasi,latitude,longitude,h_ellipsoid_m
439B,Pluit Raya Jakut,-6.120881225,106.7941685,18.7033
ANBA,Ancol Baru Jakut,-6.122604367,106.8245128,18.9314
ANCL,Wisata Ancol Jakut,-6.121192511,106.8456251,19.8997
BM06,Jalan Jend. Sudirman Jakpus,-6.199964692,106.8231544,23.1547
BM07,Jalan Jend. Sudirman Jakpus,-6.212324842,106.8200989,32.615
BM08,Jalan Jend. Sudirman Jakpus,-6.220370972,106.8126655,34.3765
BM09,Jalan Jend. Sudirman Jakpus,-6.226383519,106.8123322,33.0451
BSKI,Jalan Basuki Rahmat Jaktim,-6.224988694,106.8779258,33.5597
CBA1,Cengkareng Barat Jakbar,-6.124791219,106.7285624,18.3578
CDTB,Condet Jaksel,-6.303046581,106.8525921,56.3196
CEBA,Cengkareng Barat Jakbar,-6.12599125,106.7287126,18.6618
CIBU,Cibubur Jaksel,-6.351533281,106.8808333,80.6606
CINB,Cinere Jaksel,-6.312597547,106.7813528,66.8848
CKNI,Cikini Jakpus,-6.1881588,106.8332338,24.3477
CMAS,Cempaka Mas Jaktim,-6.166928169,106.8737864,22.0043
D481,Kyai Mansyur,-6.1597983,106.835781,20.7306
DADP,Pantai Dadap Jakut,-6.086202033,106.7186078,20.0278
DPAG,Depag Tamrin Jakpus,-6.183106947,106.8229692,20.8077
ISNA,Istana Negara Jakpus,-6.171098525,106.8224345,21.0219
JTC1,Tanjung Priok,-6.104073656,106.9138073,20.9526
KBA1,Kebayoran Baru Jaksel,-6.235388044,106.7918085,34.011
KBN1,Cilincing,-6.144674806,106.93941,20.5054
KLDR,Kalideres Jakbar,-6.159705992,106.688977,23.6172
KLGD,kelapa Gading Jaktim,-6.155237672,106.9086497,21.3329
KUNI,Kuningan Jaksel,-6.235966436,106.8343477,32.7307
LNTN,Lentenan Jakut,-6.148844675,106.7942192,20.0124
MARU,Marunda Jakut,-6.109158453,106.9534207,20.5461
MERU,Meruya Jakut,-6.197855331,106.7476748,23.6579
MONA,Monas Jakpus,-6.180089611,106.8233591,20.8251
MUBA,Muara Baru Jakut,-6.104400742,106.8001955,23.5757
MUTI,Pantai Mutiara Jakut,-6.106623819,106.7909452,19.3205
PIKA,Pantai Indah Kapuk Jakut,-6.1117283,106.751158,19.1129
PIND,Pondok Indah Jaksel,-6.280048617,106.7802254,52.2768
RUKI,Rukindo Jakut,-6.116649544,106.8620687,21.9781
SARI,Sarinah Tamrin Jakpus,-6.188468294,106.8229899,21.2084
SHR1,Gunung Sahari Jakut,-6.139604608,106.819187,19.1306
SHR2,Gunung Sahari Jakut,-6.1454379,106.8335966,20.3001
T002,Cengkareng Barat Jakbar,-6.128692075,106.7178468,20.0525
TNKL,Tongkol Jakut,-6.129086072,106.812095,19.4581
TOMA,Tomang Jakbar,-6.174733458,106.8054102,29.6613
ASTN,aston ancol,-6.130520362,106.8293972,
BM12,priok,-6.113489244,106.8739333,
GPS11,ancol  ,-6.125653911,106.8541486,21.0261
KMAY,kemayoran,-6.149074615,106.8480643,
MEGA,mega pluit,-6.100982043,106.7915968,
NZAM,muara baru,-6.096141734,106.8039076,
PH01,greenbay,-6.110606176,106.7793131,
SUNT,sunter,-6.127584525,106.8548606,
TUKE,tubagus angke,-6.347530186,106.9143604,
PTRO,cempaka putih,-6.171889633,106.8850235,
UKG4,sunter,-6.116602859,106.8868115,
AW12,Kemayoran,-6.159924939,106.8468485,20.634
CP08,Rawa Buaya,-6.15931075,106.7237263,20.8346
BBKN,Situ Babakan,-6.338573389,106.8263943,75.048
